Fecha;Temperatura_Abrigo_150cm;Humedad_Media;Presion_Media;Radiacion_Global
2024-01-17 00:00:00.0;23.65;74;1010.671;23.6727
2024-01-18 00:00:00.0;25.2507;80;1006.605;12.0084
2024-01-19 00:00:00.0;25.43889;67;1008.712;20.6682
2024-01-20 00:00:00.0;23.07084;61;1011.621;21.78437
2024-01-21 00:00:00.0;21.98541;68;1014.614;21.47034
2024-01-22 00:00:00.0;23.275;68;1016.954;21.11052
2024-01-23 00:00:00.0;23.61597;62;1014.724;21.29009
2024-01-24 00:00:00.0;24.63195;62;1012.554;20.83176
2024-01-25 00:00:00.0;25.10278;62;1012.733;21.29239
2024-01-26 00:00:00.0;25.26528;59;1013.98;21.26694
2024-01-27 00:00:00.0;25.73402;61;1012.096;20.60159
2024-01-28 00:00:00.0;25.29861;68;1010.168;19.29114
2024-01-29 00:00:00.0;26.56389;66;1008.949;20.76024
2024-01-30 00:00:00.0;27.81735;62;1007.849;20.23044
2024-01-31 00:00:00.0;28.95069;56;1008.309;15.73188
2024-02-01 00:00:00.0;30.63889;55;1011.103;20.00898
2024-02-02 00:00:00.0;31.50138;46;1009.641;20.27202
2024-02-03 00:00:00.0;29.75764;53;1006.644;16.23576
2024-02-04 00:00:00.0;25.33125;58;1010.988;14.7924
2024-02-05 00:00:00.0;27.19028;63;1008.516;17.9139
2024-02-06 00:00:00.0;31.43265;62;1008.586;15.4095
2024-02-07 00:00:00.0;31.11598;60;1005.749;15.99282
2024-02-08 00:00:00.0;30.5368;64;1005.286;13.77882
2024-02-09 00:00:00.0;25.5514;89;1006.211;6.75906
2024-02-10 00:00:00.0;26.43541;83;1005.83;9.661681
2024-02-11 00:00:00.0;27.09097;74;1006.381;16.137
2024-02-12 00:00:00.0;24.00417;87;1006.74;3.5196
2024-02-13 00:00:00.0;18.61875;65;1018.29;22.1574
2024-02-14 00:00:00.0;19.42778;68;1016.77;21.82758
2024-02-15 00:00:00.0;21.51389;73;1013.169;20.244
2024-02-16 00:00:00.0;23.51111;71;1010.919;20.17242
2024-02-17 00:00:00.0;24.65903;75;1009.365;19.5009
2024-02-18 00:00:00.0;25.40347;80;1009.418;11.33058
2024-02-19 00:00:00.0;25.29791;76;1008.148;18.71562
2024-02-20 00:00:00.0;25.15347;78;1006.144;17.85552
2024-02-21 00:00:00.0;26.61666;71;1005.053;19.26474
2024-02-22 00:00:00.0;26.54028;73;1002.543;16.60926
2024-02-23 00:00:00.0;21.62847;86;1009.607;4.166881
2024-02-24 00:00:00.0;23.41319;74;1016.442;15.6141
2024-02-25 00:00:00.0;21.95069;86;1016.547;4.9356
2024-02-26 00:00:00.0;22.12569;95;1009.803;4.08234
2024-02-27 00:00:00.0;24.11806;86;1007.213;10.62018
2024-02-28 00:00:00.0;25.41945;79;1007.544;18.59238
2024-02-29 00:00:00.0;26.05485;80;1010.135;13.12662
2024-03-01 00:00:00.0;24.59237;84;1009.256;14.04552
2024-03-02 00:00:00.0;25.12501;91;1004.89;6.286501
2024-03-03 00:00:00.0;21.07153;62;1013.035;19.32456
2024-03-04 00:00:00.0;19.35;67;1014.724;19.44894
2024-03-05 00:00:00.0;19.00903;70;1014.705;18.7326
2024-03-06 00:00:00.0;20.34166;70;1011.113;18.12672
2024-03-07 00:00:00.0;22.60903;66;1009.2;17.77842
2024-03-08 00:00:00.0;24.45417;77;1004.218;14.70348
2024-03-09 00:00:00.0;24.19236;82;1005.732;15.91908
2024-03-10 00:00:00.0;23.41458;82;1009.131;8.700419
2024-03-11 00:00:00.0;23.76944;86;1007.244;7.697221
2024-03-12 00:00:00.0;23.02987;87;1004.486;11.69004
2024-03-13 00:00:00.0;23.37639;93;1004.203;3.59586
2024-03-14 00:00:00.0;22.8236;100;1004.821;0.56664
2024-03-15 00:00:00.0;22.09374;94;1004.765;6.33978
2024-03-16 00:00:00.0;23.29446;100;1003.363;2.77152
2024-03-17 00:00:00.0;23.26389;90;1006.537;11.72202
2024-03-18 00:00:00.0;24.80347;93;1004.218;7.483081
2024-03-19 00:00:00.0;25.72153;90;1002.803;9.717122
2024-03-20 00:00:00.0;25.30486;93;996.6864;4.666379
2024-03-21 00:00:00.0;18.31944;67;1014.234;17.16132
2024-03-22 00:00:00.0;15.88334;78;1020.38;15.33792
2024-03-23 00:00:00.0;19.08403;78;1014.584;15.86532
2024-03-24 00:00:00.0;21.76945;82;1011.759;14.61894
2024-03-25 00:00:00.0;22.2118;80;1013.675;13.95882
2024-03-26 00:00:00.0;21.27222;82;1013.343;15.24666
2024-03-27 00:00:00.0;22.3118;79;1012.685;12.95178
2024-03-28 00:00:00.0;22.65555;80;1013.99;13.53288
2024-03-29 00:00:00.0;22.07014;83;1010.638;14.92116
2024-03-30 00:00:00.0;24.45834;79;1007.306;13.89456
2024-06-05 00:00:00.0;12.74514;95;1012.967;1.01208
2024-06-06 00:00:00.0;14.18264;96;1011.726;2.65416
2024-06-07 00:00:00.0;18.96944;93;1012.661;3.58692
2024-06-08 00:00:00.0;21.6375;86;1007.267;1.11834
2024-06-09 00:00:00.0;21.60138;80;1001.862;3.56406
2024-06-10 00:00:00.0;14.65555;74;1011.623;5.09766
2024-06-11 00:00:00.0;13.68819;99;1010.111;0.6284398
2024-06-12 00:00:00.0;17.975;92;1003.368;1.77486
2024-06-13 00:00:00.0;23.83681;70;994.8414;2.92524
2024-06-14 00:00:00.0;19.52847;80;1002.89;1.49004
2024-06-15 00:00:00.0;13.92153;73;1014.591;7.08912
2024-06-16 00:00:00.0;12.70903;83;1014.846;1.76934
2024-06-17 00:00:00.0;10.71458;88;1008.579;6.609479
2024-06-18 00:00:00.0;16.0507;98;1003.096;0.909
2024-06-19 00:00:00.0;15.45417;83;1009.583;5.734081
2024-06-20 00:00:00.0;11.28542;84;1012.523;6.571442
2024-06-21 00:00:00.0;15.97987;100;1003.583;0.15924
2024-06-22 00:00:00.0;17.67431;100;1003.133;0.48168
2024-06-23 00:00:00.0;11.91875;84;1011.618;4.140121
2024-06-24 00:00:00.0;7.155557;86;1020.286;6.68142
2024-06-25 00:00:00.0;8.187499;90;1022.026;1.78278
2024-06-26 00:00:00.0;8.701389;83;1014.069;6.17748
2024-06-27 00:00:00.0;12.42917;75;1002.981;6.455758
2024-06-28 00:00:00.0;9.94514;73;1013.348;7.077659
2024-06-29 00:00:00.0;4.816668;73;1020.877;7.26294
2024-06-30 00:00:00.0;5.909028;70;1015.821;6.9681
2024-07-01 00:00:00.0;10.18125;72;1013.256;7.085761
2024-07-02 00:00:00.0;11.3868;78;1009.928;7.19598
2024-07-03 00:00:00.0;8.859028;68;1013.324;6.815161
2024-07-04 00:00:00.0;5.457638;75;1016.141;6.70776
2024-07-05 00:00:00.0;4.227083;57;1022.581;7.84362
2024-07-06 00:00:00.0;2.280556;66;1023.399;3.3027
2024-07-07 00:00:00.0;6.48125;71;1025.423;6.92592
2024-07-08 00:00:00.0;2.425694;75;1026.1;7.60272
2024-07-09 00:00:00.0;1.488889;76;1024.558;7.686841
2024-07-10 00:00:00.0;1.974306;81;1019.024;7.68996
2024-07-11 00:00:00.0;3.431251;77;1022.62;7.427519
2024-07-12 00:00:00.0;4.778472;74;1030.091;7.572538
2024-07-13 00:00:00.0;5.302777;74;1028.631;7.533659
2024-07-14 00:00:00.0;4.753472;76;1026.404;7.661159
2024-07-15 00:00:00.0;10.68472;80;1025.698;4.75206
2024-07-16 00:00:00.0;11.65833;83;1022.201;4.98492
2024-07-17 00:00:00.0;11.87986;82;1018.742;7.45404
2024-07-18 00:00:00.0;13.63195;85;1013.946;7.67016
2024-07-19 00:00:00.0;12.83264;81;1022.103;1.86264
2024-07-20 00:00:00.0;9.631945;92;1019.564;0.1584
2024-07-21 00:00:00.0;11.80208;96;1016.739;2.12094
2024-07-22 00:00:00.0;12.21458;96;1017.944;1.41366
2024-07-23 00:00:00.0;14.14722;100;1013.712;1.17756
2024-07-24 00:00:00.0;17.64861;81;1010.924;3.00822
2024-07-25 00:00:00.0;14.08472;61;1013.688;8.31396
2024-07-27 00:00:00.0;11.71458;66;1016.028;8.322
2024-07-28 00:00:00.0;10.60695;55;1022.341;5.78724
2024-07-29 00:00:00.0;6.842361;60;1027.759;9.241261
2024-07-30 00:00:00.0;7.676388;72;1020.007;8.20266
2024-07-31 00:00:00.0;12.8007;88;1010.242;3.72654
2024-08-01 00:00:00.0;20.4618;77;1002.332;3.99864
2024-08-02 00:00:00.0;26.34097;55;996.2258;6.84288
2024-08-03 00:00:00.0;17.42153;85;1006.748;5.9172
2024-08-04 00:00:00.0;12.05;71;1016.121;6.4422
2024-08-05 00:00:00.0;12.43611;95;1010.887;1.67868
2024-08-06 00:00:00.0;15.14305;99;1006.452;0.66864
2024-08-07 00:00:00.0;10.37222;79;1010.888;9.59862
2024-08-08 00:00:00.0;7.043748;98;1013.0;2.74848
2024-08-09 00:00:00.0;6.263194;86;1020.696;10.77522
2024-08-10 00:00:00.0;7.655557;71;1013.67;10.4955
2024-08-11 00:00:00.0;11.1632;59;1016.668;10.33488
2024-08-12 00:00:00.0;7.295834;74;1022.393;10.7655
2024-08-13 00:00:00.0;10.88889;59;1016.437;10.85586
2024-08-14 00:00:00.0;11.90139;64;1012.432;9.90492
2024-08-15 00:00:00.0;14.31181;65;1011.72;10.43646
2024-08-16 00:00:00.0;11.53194;87;1015.299;6.596279
2024-08-17 00:00:00.0;10.475;88;1014.759;9.237183
2024-08-18 00:00:00.0;11.75417;93;1012.489;4.6941
2024-08-19 00:00:00.0;13.03403;93;1016.879;2.03508
2024-08-20 00:00:00.0;10.35069;89;1017.264;1.53126
2024-08-21 00:00:00.0;11.3368;98;1007.801;2.929501
2024-08-22 00:00:00.0;8.828473;94;1012.895;2.6838
2024-08-23 00:00:00.0;6.418749;86;1018.52;10.70832
2024-08-24 00:00:00.0;6.452084;92;1023.803;5.7324
2024-08-25 00:00:00.0;7.748611;79;1026.771;12.37116
2024-08-26 00:00:00.0;8.599999;80;1022.828;12.61944
2024-08-27 00:00:00.0;11.21389;74;1021.952;12.5169
2024-08-28 00:00:00.0;12.39514;72;1018.727;11.1678
2024-08-29 00:00:00.0;12.66667;79;1019.382;11.48346
2024-08-30 00:00:00.0;12.08473;99;1018.001;1.8E-4
2024-08-31 00:00:00.0;11.3111;100;1012.696;2.988781
2024-09-01 00:00:00.0;11.94792;87;1016.413;12.56196
2024-09-02 00:00:00.0;13.72639;86;1006.91;12.96108
2024-09-03 00:00:00.0;15.1625;66;1012.284;13.42506
